Loading mnist dataset...
/data/conda_env/torfia/lib/python3.8/site-packages/torchvision/datasets/mnist.py:498: UserWarning: The given NumPy array is not writeable, and PyTorch does not support non-writeable tensors. This means you can write to the underlying (supposedly non-writeable) NumPy array using the tensor. You may want to copy the array to protect its data or make it writeable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at  /opt/conda/conda-bld/pytorch_1623448234945/work/torch/csrc/utils/tensor_numpy.cpp:180.)
  return torch.from_numpy(parsed.astype(m[2], copy=False)).view(*s)
(Epoch 73 / 100) Train_Loss: 1298.157; Val_Loss: 1337.937   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 74 / 100) Train_Loss: 1298.530; Val_Loss: 1330.173   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 75 / 100) Train_Loss: 1297.763; Val_Loss: 1329.042   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 76 / 100) Train_Loss: 1297.450; Val_Loss: 1331.518   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 77 / 100) Train_Loss: 1296.607; Val_Loss: 1334.603   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 78 / 100) Train_Loss: 1296.973; Val_Loss: 1337.243   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 79 / 100) Train_Loss: 1296.167; Val_Loss: 1329.746   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 80 / 100) Train_Loss: 1296.816; Val_Loss: 1335.635   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 81 / 100) Train_Loss: 1296.756; Val_Loss: 1332.744   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 82 / 100) Train_Loss: 1295.453; Val_Loss: 1338.352   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 83 / 100) Train_Loss: 1295.359; Val_Loss: 1334.212   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 84 / 100) Train_Loss: 1296.114; Val_Loss: 1327.933   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 85 / 100) Train_Loss: 1295.187; Val_Loss: 1335.685   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 86 / 100) Train_Loss: 1294.479; Val_Loss: 1329.961   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 87 / 100) Train_Loss: 1295.358; Val_Loss: 1331.253   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 88 / 100) Train_Loss: 1294.822; Val_Loss: 1331.783   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 89 / 100) Train_Loss: 1293.805; Val_Loss: 1330.728   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 90 / 100) Train_Loss: 1293.785; Val_Loss: 1323.912   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 91 / 100) Train_Loss: 1293.908; Val_Loss: 1329.609   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 92 / 100) Train_Loss: 1292.677; Val_Loss: 1329.684   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 93 / 100) Train_Loss: 1293.456; Val_Loss: 1325.898   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 94 / 100) Train_Loss: 1292.720; Val_Loss: 1329.480   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 95 / 100) Train_Loss: 1292.799; Val_Loss: 1332.029   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 96 / 100) Train_Loss: 1292.575; Val_Loss: 1333.179   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 97 / 100) Train_Loss: 1292.442; Val_Loss: 1331.136   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 98 / 100) Train_Loss: 1292.976; Val_Loss: 1335.362   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 99 / 100) Train_Loss: 1291.925; Val_Loss: 1332.939   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 100 / 100) Train_Loss: 1291.458; Val_Loss: 1332.746   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
Testing phase...
Accuracy: 11.35000, NMI: 0.00000
